id,name,type,parts_count,part_1_link,part_1_duration,part_2_link,part_2_duration,part_3_link,part_3_duration,venue,read_type,series
36326,جزء 1_ سوره مباركه حمد و بقره آیات 1 تا 141,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32367&VALID=TRUE&q=11,64:10,,,,,مصر,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36402,جزء2_ آیات 142 تا 252 سوره مباركه بقره,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32369&VALID=TRUE&q=11,71:50,,,,,مصر,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36406,جزء 4_ آل عمران 93  تا آخر و نساء 1 تا 23,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32371&VALID=TRUE&q=11,62:20,,,,,مصر,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36414,جزء5 _ آیات 24 تا 147 نساء,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32372&VALID=TRUE&q=11,59:33,,,,,---,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36417,جزء 6_ آیات نساء 148 تا آخر و مائده 1 تا 81,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32373&VALID=TRUE&q=11,61:23,,,,,---,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36473,جزء 7 _ آیات مائده 82 تا آخر و انعام 1تا 110,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32402&VALID=TRUE&q=11,72:21,,,,,---,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36499,جزء 8_ آیات انعام 111 تا آخر و اعراف 1 تا 87,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32410&VALID=TRUE&q=11,73:31,,,,,---,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36501,جزء 9_ آیات اعراف 88 تا آخر و انفال 1 تا 40,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=32414&VALID=TRUE&q=11,68:11,,,,,---,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36560,جزء 16 _ سوره كهف آیات 75 تا آخر ، سوره مریم و طه,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=45802&VALID=TRUE&q=11,67:22,,,,,---,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
36563,جزء 14_ سوره حجر و نحل,ترتیل — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=34355&VALID=TRUE&q=11,55:03,,,,,استودیو,جزِءخوانی,ترتيل استاد عبدالباسط محمد عبدالصمد
