id,name,type,parts_count,part_1_link,part_1_duration,part_2_link,part_2_duration,part_3_link,part_3_duration,venue,read_type,series
36121,سوره بلد، شمس، ضحی، شرح، تین، علق، قدر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31874&VALID=TRUE&q=11,37:43,,,,,مصر-قاهره- منزل استاد,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36141,سوره بلد، ضحی، شرح، تین، علق,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31887&VALID=TRUE&q=11,19:01,,,,,پاکستان، منزل آقای اکراتچی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36144,ابراهیم آیات 35 تا 41، غاشیه 8 تا آخر، شمس، ضحی، انشراح، تین، حمد، بقره 1 تا 5,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31892&VALID=TRUE&q=11,39:50,,,,,عربستان، مسجدالحرام,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36147,حج آیات 23تا 41، بلد آیات 1تا 18,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31895&VALID=TRUE&q=11,44:27,,,,,سوریه، شهر دمشق، مسجد اموی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36149,سوره حجرات آیات 1 تا آخر، حاقه آیات 1 تا 18,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31906&VALID=TRUE&q=11,38:02,,,,,مصر، شهر قاهره، مسجد امام شافعی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36161,كهف آیات 60 تا78 ،107 تاآخر،تكویر،ضحی،شرح،حمد,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31944&VALID=TRUE&q=11,42:27,,,,,سوره / دمشق /مسجد اموی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36167,سوره مائده آیات 20 تا 35، نباء 31 تا آخر، شمس,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31951&VALID=TRUE&q=11,44:29,,,,,سوریه، شهر دمشق، دانشگاه یلبغا,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36177,سوره مریم آیات 2 تا 36، تكویر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=31986&VALID=TRUE&q=11,36:36,,,,,سوریه/دمشق/مسجداموی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36205,سوره قمر آیات 49 تا آخر، رحمن 1 تا 17، نباء 31 تا آخر، تكویر، ضحی، شرح، حمد، بقره1 تا 5,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=32000&VALID=TRUE&q=11,37:05,,,,,سوریه/حلب,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36218,شوری آیات 49 تا آخر، قاف 1 تا 35، طارق 1 تا 10,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=32015&VALID=TRUE&q=11,33:24,,,,,مصر، شهر اسکندریه، مسجد امام بوصیری,تلاوت مستقل,شاهكار هاي تلاوت قرآن
36285,توبه آیات 18تا 29، طارق، بلد، قدر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=32199&VALID=TRUE&q=11,37:25,,,,,سوریه، شهر دمشق، مسجد اموی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
51449,سوره حشر 18 تا آخر، تكویر، فجر 27 تا آخر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=310492&VALID=TRUE&q=11,29:39,,,,,عراق ، شهر کاظمین ، حرم امام موسی کاظم (ع),تلاوت مستقل,شاهكار هاي تلاوت قرآن
51566,تحریم آیات 8 تا آخر، حاقه 1تا 24، انفطار,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=45847&VALID=TRUE&q=11,33:44,,,,,,تلاوت مستقل,شاهكار هاي تلاوت قرآن
56605,سوره نبأ آیات 31 تاآخر، طارق، قدر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=322628&VALID=TRUE&q=11,,,,,,مصر ، شهر قاهره ، مسجد امام حسین ( ع ),تلاوت مستقل,شاهكار هاي تلاوت قرآن
56907,حجرات،حاقه,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=51727&VALID=TRUE&q=11,38:14,,,,,محفل قرآنی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
58621,سوره یوسف آیات 1 تا 29,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=52281&VALID=TRUE&q=11,46:33,,,,,سوریه، شهر حلب، قصر جابری,تلاوت مستقل,شاهكار هاي تلاوت قرآن
58675,سوره قصص آیات 5 تا 28، حاقه 1 تا 24، قدر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=404266&VALID=TRUE&q=11,55:50,,,,,آفریقای جنوبی، شهر ژوهانسبورک,تلاوت مستقل,شاهكار هاي تلاوت قرآن
60464,سوره شوری آیات 49 تا آخر، قاف 1 تا 11، تكویر، شمس,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=98684&VALID=TRUE&q=11,42:56,,,,,مصر، شهر قاهره، مسجد امام شافعی,تلاوت مستقل,شاهكار هاي تلاوت قرآن
64052,احزاب آیات 38 تا 48، حاقه 1 تا 7,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=57064&VALID=TRUE&q=11,22:51,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
64425,كهف آیات 107 تا آخر، قیامه، قدر، كوثر,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=57547&VALID=TRUE&q=11,23:52,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65386,كهف آیات 30 تا 45، بلد آیات 1 تا 12,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=58371&VALID=TRUE&q=11,28:09,,,,,مصر، شهر قاهره، مسجد امام شافعی,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65399,اسراء آیات 1تا 14,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=58383&VALID=TRUE&q=11,23:37,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65403,تحریم، شمس,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=404373&VALID=TRUE&q=11,24:10,,,,,مصر، شهر قاهره، مسجد امام حسین (ع),تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65406,فصلت آیات 30 تا 44,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=58417&VALID=TRUE&q=11,16:45,,,,,پاکستان,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65408,سوره فتح آیات 27 تا آخر، شمس، ضحی، شرح,تحقیق — مجلسی,1,http://player.iranseda.ir/downloadfile?attid=58423&VALID=TRUE&q=11,22:22,,,,,قاهره، مسجد امام حسین (ع),تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
65409,سوره بلد، ضحی، شرح، تین آیات 1 تا 3,,0,http://player.iranseda.ir/quran-player/?g=65409&w=46,,,,,,,,
