id,name,type,parts_count,part_1_link,part_1_duration,part_2_link,part_2_duration,part_3_link,part_3_duration,venue,read_type,series
37783,سوره شوری آیات 52تا آخر، قاف 1 تا8,تحقیق — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=324669&VALID=TRUE&q=11,6:26,,,,,,تلاوت مستقل,شاهكار هاي تلاوت قرآن
67327,اسراء آیات 1 تا 30,تحقیق — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=95315&VALID=TRUE&q=11,28:23,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
124389,سوره مباركه شمس,تحقیق — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=106643&VALID=TRUE&q=11,4:39,,,,,,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
142996,سوره قمر آیات 49 تا 55، رحمن 1 تا 28,تحقیق — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=120880&VALID=TRUE&q=11,9:25,,,,,انگلستان، رادیو لندن,تلاوت مستقل,تلاوت تحقيق قاريان غير ايراني
233275,11 - آیات 102 تا 148 آل عمران,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183616&VALID=TRUE&q=11,36:53,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233390,1 - آیات 1 تا 7 حمد و 1 تا 53 بقره,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183051&VALID=TRUE&q=11,38:23,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233421,2 - آیات 54 تا 91 بقره,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183058&VALID=TRUE&q=11,37:04,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233434,3 - آیات 92 تا 134 بقره,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183066&VALID=TRUE&q=11,39:14,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233437,4 - آیات 135 تا 176 بقره,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183078&VALID=TRUE&q=11,36:31,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233460,5 - آیات 177 تا 214 بقره,تحقیق دوره ا ی — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183108&VALID=TRUE&q=11,36:24,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233467,6 - آیات 215 تا 245 بقره,,0,http://player.iranseda.ir/quran-player/?g=233467&w=46,,,,,,,,
233792,7 - آیات 246 تا 271 بقره,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183593&VALID=TRUE&q=11,37:46,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233793,9 - آیات 19 تا 58 آل عمران,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183599&VALID=TRUE&q=11,35:28,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233794,8 - آیات 272 تا 268 بقره و 1 تا 18 آل عمران,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183594&VALID=TRUE&q=11,36:37,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233800,10 - آیات 59 تا 101 آل عمران,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183601&VALID=TRUE&q=11,36:09,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233910,13 - آیات 186 تا 200 آل عمران و 1 تا 18 نساء,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183620&VALID=TRUE&q=11,37:46,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
233935,14 - آیات 19 تا 50 نساء,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=183675&VALID=TRUE&q=11,36:11,,,,,,حزب‌خوانی,تحقيق دوره اي - عبدالباسط محمد عبدالصمد (1)
264195,15-  آیات 51 تا 91 نساء,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=208524&VALID=TRUE&q=11,39:23,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
264546,16- تلاوت تحقیق دوره ای عبدالباسط محمد عبدالصمد,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=209016&VALID=TRUE&q=11,36:11,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
264547,17-تلاوت آیات 127 تا 162سوره النساء,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=208525&VALID=TRUE&q=11,34:26,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
