id,name,type,parts_count,part_1_link,part_1_duration,part_2_link,part_2_duration,part_3_link,part_3_duration,venue,read_type,series
267396,سوره دخان آیات 51تا59، جاثیه آیات 1تا37، احقاف آیات 1تا14,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=213774&VALID=TRUE&q=11,39:53,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
267397,سوره احقاف آیات 15تا35، سوره محمد (ص) آیات 1تا19,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=213766&VALID=TRUE&q=11,39:14,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
267398,سوره محمد(ص) آیات 20تا38، سوره فتح 1تا28,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=213764&VALID=TRUE&q=11,38:57,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
271749,91-تلاوت آیه 29  سوره فتح  وآیه 1  تا  38  سوره حجرات وآیه 1تا37 سوره ق,تحقیق دوره ا ی — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214345&VALID=TRUE&q=11,39:19,,,,,,حزب‌خوانی,تحقيق دوره اي عبدالباسط 3
271750,92-تلاوت آیه38  تا 45 سوره ق   وآیه  1 تا  60  سوره ذاریات وآیه 1تا 49 طور,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214338&VALID=TRUE&q=11,41:24,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
271752,93-تلاوت آیه 1  تا 62سوره نجم  وآیه 1  تا  55  سو ره قمر,تحقیق دوره ا ی — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214324&VALID=TRUE&q=11,37:35,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
271753,94-تلاوت آیه 1 تا 78 سوره  الرحمن وآیه1 تا  96 سوره واقعه,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214312&VALID=TRUE&q=11,43:42,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
271754,95-تلاوت آیه  1تا 29 سوره حدید وآیه 1 تا 10  سوره مجادله,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214311&VALID=TRUE&q=11,41:34,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
271803,96-تلاوت آیه 11  تا 22 سوره مجادله   وآیه 1 تا   24 سوره حجر,تحقیق دوره ا ی — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214310&VALID=TRUE&q=11,39:18,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272345,97-تلاوت آیه 1 تا 13 سوره  ممتحنه وآیه  1 تا   14 سوره صف وآیه 1تا11 سوره جمعه,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214778&VALID=TRUE&q=11,41:06,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272347,98-تلاوت آیه1  تا 11 سوره  منافقون  وآیه 1  تا  18سوره تغابن وآیه 1تا12طلاق,تحقیق دوره ا ی — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214776&VALID=TRUE&q=11,38:08,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272349,99-تلاوت آیه 1  تا  12 سوره تحریم  وآیه 1 تا 30 سوره ملك وآیه 1تا33 سوره قلم,تحقیق دوره ا ی — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214749&VALID=TRUE&q=11,40:48,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272353,100-تلاوت تحقیق قاریان غیر ایرانی,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214716&VALID=TRUE&q=11,42:42,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272356,101-تلاوت آیه 1 تا 28 سوره جن  وآیه 1  تا 20   سوره مزمل وآیه1تا56 سوره مدثروآیه 1تا40سوره قیامه,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214723&VALID=TRUE&q=11,43:09,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272388,102- تلاوت آیه 1 تا31 سوره  انسان وآیه 1 تا 50 سوره مرسلات  وآیه1تا 40 سوره النباء  وآیه 1تا46سوره نازعات,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214740&VALID=TRUE&q=11,42:36,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272392,"103- تلاوت آیه1 تا 42 سوره عبس  وآیه 1 تا 29 سوره تكویرو آیه 1 تا19 سوره انفطار, آیه 1 تا 36 سوره مطففین  وآیه 1  تا  25  سوره انشقاق و آیه 1تا22 سوره",تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214730&VALID=TRUE&q=11,41:53,,,,,,حزب‌خوانی,تحقيق دوره اي عبدالباسط 3
272397,104- تلاوت آیه 1 تا 19 سوره  اعلی  وآیه1   تا 26   سوره الغاشیه,تحقیق دوره ای — استودیویی,1,http://player.iranseda.ir/downloadfile?attid=214699&VALID=TRUE&q=11,35:01,,,,,,صفحه‌خوانی,تحقيق دوره اي عبدالباسط 3
272415,105- آیات سوره های التین، علق ، قدر ، بینه ، زلزال ، عادیات ، قارعه ، تكاثر ،عصر،همزه فیل ،قریش ،ماعون، كوثر ،كافرون ،نصر،حسد،اخلاص ، فلق ، ناس،حمد,,,,,,,,,,,
